i,j,x,p,F
2,58,-9.798994974874372,-4.1708542713567835,-7.13997121284816
2,59,-9.798994974874372,-4.0703517587939695,-8.124794828413428
2,60,-9.798994974874372,-3.9698492462311554,-9.10961844397869
2,61,-9.798994974874372,-3.8693467336683414,-10.094442059543951
2,62,-9.798994974874372,-3.7688442211055273,-11.07926567510922
2,63,-9.798994974874372,-3.6683417085427132,-12.064089290674481
2,64,-9.798994974874372,-3.567839195979899,-13.048912906239742
2,65,-9.798994974874372,-3.467336683417085,-14.033736521805004
2,66,-9.798994974874372,-3.366834170854271,-15.018560137370272
2,67,-9.798994974874372,-3.266331658291457,-16.003383752935534
2,68,-9.798994974874372,-3.165829145728643,-16.988207368500795
2,69,-9.798994974874372,-3.065326633165829,-17.97303098406606
2,70,-9.798994974874372,-2.964824120603015,-18.957854599631325
2,71,-9.798994974874372,-2.8643216080402008,-19.942678215196587
2,72,-9.798994974874372,-2.7638190954773867,-20.92750183076185
2,73,-9.798994974874372,-2.6633165829145726,-21.912325446327113
2,74,-9.798994974874372,-2.5628140703517586,-22.897149061892378
2,75,-9.798994974874372,-2.4623115577889445,-23.88197267745764
2,76,-9.798994974874372,-2.3618090452261304,-24.866796293022905
2,77,-9.798994974874372,-2.2613065326633164,-25.851619908588166
2,78,-9.798994974874372,-2.1608040201005023,-26.83644352415343
2,79,-9.798994974874372,-2.0603015075376883,-27.821267139718696
2,80,-9.798994974874372,-1.9597989949748733,-28.806090755283968
2,81,-9.798994974874372,-1.8592964824120592,-29.79091437084923
